location,time,variable,value,unit_measure,unit_mult,currency,price_base,reference_year,adjustment,transformation,obs_status,conf_status,base_period,decimals,series_key
AUS,1984-Q4,consumption,102222,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1985-Q1,consumption,104330,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1985-Q2,consumption,105404,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1985-Q3,consumption,107698,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1985-Q4,consumption,109118,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1986-Q1,consumption,107676,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1986-Q2,consumption,109816,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1986-Q3,consumption,110572,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1986-Q4,consumption,110386,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1987-Q1,consumption,110748,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1987-Q2,consumption,111365,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1987-Q3,consumption,113022,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1987-Q4,consumption,114157,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1988-Q1,consumption,115138,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1988-Q2,consumption,115008,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1988-Q3,consumption,116662,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1988-Q4,consumption,118496,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1989-Q1,consumption,121094,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1989-Q2,consumption,122309,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1989-Q3,consumption,123324,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1989-Q4,consumption,124200,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1990-Q1,consumption,125580,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1990-Q2,consumption,126147,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1990-Q3,consumption,126360,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1990-Q4,consumption,125636,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1991-Q1,consumption,125811,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1991-Q2,consumption,126359,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1991-Q3,consumption,127893,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1991-Q4,consumption,128061,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
