"vintage","method","statistic","point","lower","upper"
"current","growth",35,0.0130224661211082,-0.0442548447716165,0.478992192786044
"current","growth",36,-0.00363843844395417,-0.116899998557064,0.35721133357777
"current","growth",37,0.194086965063198,0.0666560032534171,0.66268739865112
"current","growth",38,0.00608067618171226,-0.158292089599696,0.305821006291686
"current","growth",39,0.0774235338846051,-0.0251253287328663,0.319873109491521
"current","growth",40,0.0660695450167489,0.00505966196969643,0.314019623227638
"current","growth",41,0.146477732483718,0.0481887073329419,0.638844659820141
"current","growth",42,0.0449116973752295,-0.0491182176895559,0.292209301708041
"current","growth",43,0.0347171454205483,-0.169142840948134,0.3950362896249
"current","growth",44,0.0556526443112461,-0.0330706825985498,0.420631486153171
"current","growth",45,0.0018268833252576,-0.103983537758765,0.17420062611414
"current","growth",46,0.148795842028636,0.0557872219019014,0.486692258301638
"current","growth",47,0.0157256173297654,-0.365655355719715,0.0654162475186748
"current","growth",48,0.0703959754648862,-0.00899039056224703,0.4143562124815
"original","growth",1,0.509504411270407,0.179107711937478,0.679994259892769
"original","growth",2,0.184389257975153,0.0765567411028341,0.276268175750451
"original","growth",3,0.325115153295254,0.074923149103489,0.439842907183112
"original","growth",4,0.1175837123221,-0.2039213467318,0.403388902592439
"original","growth",5,-0.28260101811547,-0.465972157299821,0.0413020939127777
"original","growth",6,0.29785342057284,-0.0504549037367468,0.53875999014854
"original","growth",7,0.155769741576132,-0.246208756169203,0.444313842322854
"original","growth",8,-0.110574629910875,-0.432321096704196,0.101388823517054
"original","growth",9,-0.0444829910216823,-0.263332223026901,0.29981223707294
"original","growth",10,-0.182482057296634,-0.504961354439726,0.038550003851153
"original","growth",11,0.126093404042492,-0.131802314467891,0.335681970353335
"original","growth",12,-0.0891663046938605,-0.247508474772171,0.0853597463968411
"original","growth",13,0.152398026400712,-0.241097690723263,0.400165503577849
"original","growth",14,0.490026506804008,0.0965994708315479,0.794327741943934
"original","growth",15,0.597974622128811,0.185244711040502,0.84004257731473
"original","growth",16,0.514595087667902,0.174891385386507,0.809831656002929
"original","growth",17,0.54212275540982,-0.068970894735374,0.912800298474478
"original","growth",18,0.376076257111118,0.0400086395791543,0.713037325341403
"original","growth",19,0.163647850801422,-0.282214782718262,0.586739522607899
"original","growth",20,0.248636097512173,-0.308106174542034,0.654132918848625
"original","growth",21,0.410608678908152,-0.0868883688150288,0.65348335287338
"original","growth",22,0.563983156814969,-0.00384287897703548,0.884014254843207
"original","growth",23,0.352398947920099,0.0273076357011556,0.521608608105512
"original","growth",24,0.151704198008441,-0.184805771423077,0.435376136073824
"original","growth",25,0.244075529816481,-0.128127932973628,0.384448043249701
"original","growth",26,0.373257161416232,-0.0522390007363069,0.483236814776207
"original","growth",27,0.172975046779058,-0.162504594119027,0.419513109988907
"original","growth",28,0.63187181292319,0.0789806785081211,0.975107507976159
"original","growth",29,0.554116352128039,0.107837299167971,0.737957418012616
"original","growth",30,0.477379889895436,-0.0187800048649184,0.687372247122127
"original","growth",31,0.837173315814456,0.38849336405818,1.110500479481
"original","growth",32,0.348278633376652,-0.3326660622571,0.778297409248555
"original","growth",33,0.461175411706807,0.0270179284719188,0.668138515980867
"original","growth",34,0.489817482767577,0.146144537885612,0.754141481910693
"original","growth",35,0.658409314856695,0.225698486393012,0.80357547198898
"original","growth",36,0.681520143716502,0.356480955024041,0.877579526211769
"original","growth",37,0.51776328963975,0.0532927178607657,0.73723191497977
"original","growth",38,0.322764033836952,-0.32546392457373,0.614662090948346
"original","growth",39,0.283482875204675,-0.0986864548172665,0.539996096370318
"original","growth",40,0.390754419181631,0.161452813651017,0.558067505956828
"original","growth",41,0.534584854747958,0.132257328677512,0.731777477247436
"original","growth",42,0.0958725194826996,-0.412084458588649,0.393679369395575
"original","growth",43,0.467244204804182,0.0942665035395243,0.603072956735313
"original","growth",44,0.497667671483175,0.14904805332857,0.632483211262171
"original","growth",45,0.0764648328913367,-0.194324288566281,0.322206240172207
"original","growth",46,0.539615353823863,0.110724821939642,0.688325864832283
"original","growth",47,0.0233801299035669,-0.431976019439255,0.267755894211094
"original","growth",48,0.398372155126869,-0.0178392271800027,0.600989758009543
"current","hamilton",1,0.706786993603541,0.496279905245276,0.815425508011813
"current","hamilton",2,0.702345492947677,0.251852330788263,0.809951906141417
"current","hamilton",3,0.00444150065586391,-0.0826096793903916,0.144350230577285
"current","hamilton",4,-0.0575689698719518,-0.177324703640848,0.0593713885456429
"current","hamilton",5,-0.177713625244072,-0.460937684482254,-0.0550720280883685
"current","hamilton",6,-0.155839384602603,-0.256542104102793,0.185919885336137
"current","hamilton",7,-0.210991400435421,-0.36638831039359,0.254038489100031
"current","hamilton",8,-0.0408143912878081,-0.223000454251812,0.0445232845664859
"current","hamilton",9,0.00651525052119339,-0.0752074585427774,0.104229964875773
"current","hamilton",10,-0.184931877522406,-0.685336571761314,0.0666257126625337
"current","hamilton",11,-0.152193895721238,-0.367155204998974,0.128573849445744
"current","hamilton",12,0.110841566770553,-0.0548380607603637,0.309520481359538
"current","hamilton",13,-0.113718804791734,-0.277705923768982,-0.000288200060035653
"current","hamilton",14,0.0340171304770396,-0.0435942493656796,0.596089771935646
"current","hamilton",15,-0.0396819985157467,-0.170342436088566,0.319766952696171
"current","hamilton",16,-0.0202991575324355,-0.117977827416942,0.101163928559398
"current","hamilton",17,0.0119833958850643,-0.0798229435003089,0.193185397271369
"current","hamilton",18,-0.10412113224318,-0.280143711731515,0.168158461208128
"current","hamilton",19,0.0747456540902949,-0.105617022269288,0.430966917441364
"current","hamilton",20,0.0871909728071779,-0.188287202590618,0.303439773513723
"current","hamilton",21,-0.125787314865803,-0.258591471653063,0.320213309872765
"current","hamilton",22,-0.147801822257666,-0.416992206890266,0.237784884670872
"current","hamilton",23,0.0263694598366534,-0.0247438789089055,0.156423535493389
"current","hamilton",24,0.00302510831245317,-0.0751644479490415,0.181130959043172
"current","hamilton",25,-0.115531972221457,-0.411099420026793,0.155844396843035
"current","hamilton",26,0.0257335847422795,-0.229518860024242,0.356073649029425
"current","hamilton",27,0.29340197188371,0.107938560858168,0.576129824030172
"current","hamilton",28,-0.0670530378420917,-0.186164197260966,0.234247475628976
"current","hamilton",29,0.0311940136957694,-0.108290039469983,0.57038986685626
"current","hamilton",30,-0.00507425425558305,-0.139134948641501,0.493002792746463
"current","hamilton",31,0.058385656850297,-0.149661373023468,0.642321289472139
"current","hamilton",32,-0.0569773192237681,-0.178006794782172,0.190285132488637
"current","hamilton",33,0.101661829876171,-0.203038876770374,0.377113807907766
"current","hamilton",34,-0.106096607072847,-0.317558649094722,0.129727247611266
"current","hamilton",35,-0.169830627144781,-0.334926914557549,-0.00257306377348495
"current","hamilton",36,-0.112827744025951,-0.388561174392057,0.353815661845825
"current","hamilton",37,0.163386633669522,-0.0897826861766492,0.567986322102799
"current","hamilton",38,-0.0622648367112246,-0.456775385821416,0.170975642053999
"current","hamilton",39,0.0678635185618883,0.0109039055647632,0.202252302666746
"current","hamilton",40,0.0418611235893185,-0.0676854591760138,0.254430692381998
"current","hamilton",41,0.187175289307568,-0.0457268444033496,0.575233237313276
"current","hamilton",42,0.119120337408094,-0.0152577999201491,0.236343459841044
"current","hamilton",43,0.120680067107087,-0.0410875977423763,0.492706105197405
"current","hamilton",44,0.113413696849947,-0.024436151850055,0.39198541088823
"current","hamilton",45,0.0966829380046877,0.00962773837237227,0.168127613912456
"current","hamilton",46,0.100328260505218,-0.0462748972504061,0.589480804539349
"current","hamilton",47,0.189677348432168,-0.104967900301988,0.475408340551678
"current","hamilton",48,0.36173289371949,0.00676405118717286,0.608185895255309
"original","hamilton",1,0.592379558528772,0.287528367646062,0.739439303041692
"original","hamilton",2,0.295903136039023,0.152671797020043,0.437752368453457
"original","hamilton",3,0.296476422489749,0.117382920260361,0.417576092981711
"original","hamilton",4,0.0537407089279728,-0.367442175861956,0.388183832851944
"original","hamilton",5,-0.288719771835714,-0.551273051053169,-0.0240151288201844
"original","hamilton",6,0.327745734604641,0.049643105438944,0.578575540882567
"original","hamilton",7,0.390623287505701,0.0817822819948743,0.651642729377685
"original","hamilton",8,-0.0418383139595584,-0.347092148907013,0.349625795691658
"original","hamilton",9,-0.118030536781114,-0.36967336353068,0.104052293546626
"original","hamilton",10,-0.357860657295823,-0.790338431997543,0.134234923119259
"original","hamilton",11,0.144865389688282,-0.232521937261751,0.580137874256914
"original","hamilton",12,-0.0199580777225771,-0.192951580592215,0.144280992711033
"original","hamilton",13,0.264106125421634,-0.0402960561330305,0.583447236955993
"original","hamilton",14,0.660152959563531,0.350420526486899,1.09601531331415
"original","hamilton",15,0.523786017191648,0.220794727374485,0.891530589635709
"original","hamilton",16,0.38838062588006,0.214516521623438,0.730187756417919
"original","hamilton",17,0.469864818452244,-0.0702490037395516,0.820311636583143
"original","hamilton",18,0.148822629886307,-0.355032371461311,0.493892932795876
"original","hamilton",19,0.34413473167115,-0.062050936795706,0.608257115349208
"original","hamilton",20,0.162428794291672,-0.26357020443826,0.495150075587175
"original","hamilton",21,0.352392825242067,-0.00292896128277052,0.71988556195296
"original","hamilton",22,0.593548312036511,0.321910559144055,0.734809961434567
"original","hamilton",23,0.124645707275659,-0.27541882383347,0.634548730146708
"original","hamilton",24,0.112321247532163,-0.480908960945216,0.259377161401375
"original","hamilton",25,-0.204903460049877,-0.827305863696525,0.355650706023763
"original","hamilton",26,0.524628384868563,0.0646302435268045,0.820743431737738
"original","hamilton",27,0.345431720287568,0.0338434993043082,0.490844069907207
"original","hamilton",28,0.17295217554163,-0.147044868868406,0.708849666975074
"original","hamilton",29,0.699847301184061,0.304268101591237,1.1301515375855
"original","hamilton",30,0.537607883384239,0.224361648512289,0.777326217707658
"original","hamilton",31,0.91995937326888,0.49145037582346,1.33502812997394
"original","hamilton",32,0.454065643484092,-0.0151676457748769,0.81347920529425
"original","hamilton",33,0.345708363348444,0.13622113813939,0.542765592400794
"original","hamilton",34,0.620639392831087,0.285075339635293,1.00801075453904
"original","hamilton",35,0.41288545146628,0.135330961852873,0.666577428687415
"original","hamilton",36,0.63001062236965,0.0852069653680531,0.979520161461637
"original","hamilton",37,0.405443816164209,0.0316748837833381,0.673799382127556
"original","hamilton",38,0.065912369282402,-0.222644720328331,0.224036228874193
"original","hamilton",39,0.340914181752398,-0.0538961291462132,0.530128961062305
"original","hamilton",40,-0.0594572436280763,-0.397219662352121,0.221515615389614
"original","hamilton",41,0.668879191102406,0.268678556784507,0.980858551022843
"original","hamilton",42,0.281998421197727,-0.0619108716451847,0.503909103748741
"original","hamilton",43,0.440180077192857,0.0663376605012019,0.672693986879841
"original","hamilton",44,0.412225355795073,0.213598017387511,0.678106472351398
"original","hamilton",45,0.0259135975024615,-0.0645998668619683,0.152870516406725
"original","hamilton",46,0.614738932492124,0.206225117546635,0.84616364451464
"original","hamilton",47,0.184741737336119,-0.251551644354787,0.421534152646021
"original","hamilton",48,0.265963166287918,0.0412570680549899,0.584482693569117
