"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1977-Q2","Q2-1977","AUD","Australian Dollar","6","millions",,,100212,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1977-Q3","Q3-1977","AUD","Australian Dollar","6","millions",,,101540,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1977-Q4","Q4-1977","AUD","Australian Dollar","6","millions",,,102700,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1978-Q1","Q1-1978","AUD","Australian Dollar","6","millions",,,106108,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1978-Q2","Q2-1978","AUD","Australian Dollar","6","millions",,,109244,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1978-Q3","Q3-1978","AUD","Australian Dollar","6","millions",,,112880,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1978-Q4","Q4-1978","AUD","Australian Dollar","6","millions",,,115896,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1979-Q1","Q1-1979","AUD","Australian Dollar","6","millions",,,121704,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1979-Q2","Q2-1979","AUD","Australian Dollar","6","millions",,,123596,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1979-Q3","Q3-1979","AUD","Australian Dollar","6","millions",,,127856,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1979-Q4","Q4-1979","AUD","Australian Dollar","6","millions",,,132964,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1980-Q1","Q1-1980","AUD","Australian Dollar","6","millions",,,136588,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1980-Q2","Q2-1980","AUD","Australian Dollar","6","millions",,,139740,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1980-Q3","Q3-1980","AUD","Australian Dollar","6","millions",,,144280,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1980-Q4","Q4-1980","AUD","Australian Dollar","6","millions",,,150936,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1981-Q1","Q1-1981","AUD","Australian Dollar","6","millions",,,153964,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1981-Q2","Q2-1981","AUD","Australian Dollar","6","millions",,,159796,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1981-Q3","Q3-1981","AUD","Australian Dollar","6","millions",,,168348,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1981-Q4","Q4-1981","AUD","Australian Dollar","6","millions",,,173160,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1982-Q1","Q1-1982","AUD","Australian Dollar","6","millions",,,176816,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1982-Q2","Q2-1982","AUD","Australian Dollar","6","millions",,,183684,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1982-Q3","Q3-1982","AUD","Australian Dollar","6","millions",,,185784,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1982-Q4","Q4-1982","AUD","Australian Dollar","6","millions",,,188772,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1983-Q1","Q1-1983","AUD","Australian Dollar","6","millions",,,190324,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1983-Q2","Q2-1983","AUD","Australian Dollar","6","millions",,,192708,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1983-Q3","Q3-1983","AUD","Australian Dollar","6","millions",,,202984,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1983-Q4","Q4-1983","AUD","Australian Dollar","6","millions",,,209212,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1984-Q1","Q1-1984","AUD","Australian Dollar","6","millions",,,218144,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1984-Q2","Q2-1984","AUD","Australian Dollar","6","millions",,,223244,,
